[PC: 0x80002c68] Instruction: addi	sp,sp,-16 — No future Verilator match found
[PC: 0x80002c6c] Instruction: li	a2,0 — No future Verilator match found
[PC: 0x80002c70] Instruction: li	a1,4 — No future Verilator match found
[PC: 0x80002c74] Instruction: li	a0,2 — No future Verilator match found
[PC: 0x80002c78] Instruction: sw	ra,12(sp) — No future Verilator match found
[PC: 0x80002c7c] Instruction: sw	s0,8(sp) — No future Verilator match found
[PC: 0x80002c80] Instruction: sw	s1,4(sp) — No future Verilator match found
[PC: 0x80003620] Instruction: mv	a2,a0 — No future Verilator match found
[PC: 0x80003624] Instruction: li	a0,0 — No future Verilator match found
[PC: 0x80003628] Instruction: andi	a3,a1,1 — No future Verilator match found
[PC: 0x8000362c] Instruction: beqz	a3,0x80003634 <__mulsi3+20> — No future Verilator match found
[PC: 0x80003634] Instruction: srli	a1,a1,0x1 — No future Verilator match found
[PC: 0x80003638] Instruction: slli	a2,a2,0x1 — No future Verilator match found
[PC: 0x8000363c] Instruction: bnez	a1,0x80003628 <__mulsi3+8> — No future Verilator match found
[PC: 0x80003628] Instruction: andi	a3,a1,1 — No future Verilator match found
[PC: 0x8000362c] Instruction: beqz	a3,0x80003634 <__mulsi3+20> — No future Verilator match found
[PC: 0x80003634] Instruction: srli	a1,a1,0x1 — No future Verilator match found
[PC: 0x80003638] Instruction: slli	a2,a2,0x1 — No future Verilator match found
[PC: 0x8000363c] Instruction: bnez	a1,0x80003628 <__mulsi3+8> — No future Verilator match found
[PC: 0x80003628] Instruction: andi	a3,a1,1 — No future Verilator match found
[PC: 0x8000362c] Instruction: beqz	a3,0x80003634 <__mulsi3+20> — No future Verilator match found
[PC: 0x80003630] Instruction: add	a0,a0,a2 — No future Verilator match found
[PC: 0x80003634] Instruction: srli	a1,a1,0x1 — No future Verilator match found
[PC: 0x80003638] Instruction: slli	a2,a2,0x1 — No future Verilator match found
[PC: 0x8000363c] Instruction: bnez	a1,0x80003628 <__mulsi3+8> — No future Verilator match found
[PC: 0x80003620] Instruction: mv	a2,a0 — No future Verilator match found
